;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
1;-252,87;;;;;;;;;;;;;;;;;-268,93;;;;;;;;;;;;;;;
2;1347;2970;;;;;;;;;;;2600;4827;-195,8;-182,96;-188,11;-246,05;;;;;;;;;;;;;;;
3;883,15;1107;;;;;;;;;;;2467;2355;280;444,674;-34,6;-185,7;;;;;;;;;;;;;;;
4;774;1487;2831;3287;3380;2672;1962;2750;2870;2732;2567;907;2403;2830;615;684,9;58,78;-152,3;;;;;;;;;;;;;;;
5;687,2;1384;3337;4377;4742;4612;4877;3900;3727;3140;2212;765;2080;2270;1750;989,8;184,35;-107,1;;;;;;;;;;;;;;;
6;678,4;1640;;4602;5425;5660;5627;5027;4130;3830;2807;356,6;1457;1740;1564;962;337;-61,8;3454;3426;3512;3068;2460;1791;1597;3250;3123;2562;2695;2863;1947;1193;3302
7;677;1140;;;;;;;;;;;;;;;;;1140;3250;3800;4500;3818;3902;3340;2607;3110;2630;1227;;;;
