;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
1;1,00794;;;;;;;;;;;;;;;;;4,002602;;;;;;;;;;;;;;;
2;4,002602;9,01218;;;;;;;;;;;10,81;12,011;14,0067;15,9994;18,9984;20,179;;;;;;;;;;;;;;;
3;22,98977;24,305;;;;;;;;;;;26,98154;28,0855;30,97376;32,06;35,453;39,948;;;;;;;;;;;;;;;
4;39,0983;40,08;44,9559;47,88;50,9415;51,996;54,938;55,847;58,9332;58,69;63,546;65,38;69,72;72,59;74,9216;78,96;79,904;83,8;;;;;;;;;;;;;;;
5;85,4678;87,62;88,9059;91,22;92,9064;95,94;98;101,07;102,9055;106,42;107,868;112,41;114,82;118,69;121,75;127,6;126,9045;131,29;;;;;;;;;;;;;;;
6;132,9054;137,33;;178,49;180,9479;183,85;186,207;190,2;192,22;195,08;196,9665;200,59;204,383;207,2;208,9804;209;210;222;138,9055;140,116;140,9077;144,24;145;150,36;151,96;157,25;158,9254;162,5;164,9304;167,26;168,9342;173,04;174,967
7;223;226,0254;;263,11;268;271;270;269;278;281;281;285;286;289;289;293;294;294;227,0278;232,0381;231,0359;238,0389;237,0482;244;243;247;247;251;252;257;258;255;260
