;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
1;-259,14;;;;;;;;;;;;;;;;;-272,2;;;;;;;;;;;;;;;
2;180,54;1278;;;;;;;;;;;2210;3550;-209,86;-218,4;-219,62;-248,7;;;;;;;;;;;;;;;
3;97,86;648,8;;;;;;;;;;;660,37;1412;44,14;112,8;-100,98;-189,2;;;;;;;;;;;;;;;
4;63,65;839;1541;1670;1890;1857;1244;1535;1495;1453;1083,4;419,88;29,78;937,4;817;217;-7,25;-156,6;;;;;;;;;;;;;;;
5;38,89;769;1522;1852;2468;2617;2172;2310;1966;1552;961,93;320,9;156,78;231,88;630,5;449,5;113,5;-111,9;;;;;;;;;;;;;;;
6;28,5;725;;2227;2996;3410;3180;3045;2410;1773,5;1064,43;-38,86;303,5;327,5;271,3;254;302;-71;920;798;931;1021;1168;1077;822;1312;1356;1409;1474;1529;1545;819;1663
7;27;970;;;;;;;;;;;;;;;;;3250;3800;4500;3818;3902;3340;2607;3110;2630;1227;;;;;
